file	best_BER	alpha	block_size	num_bits
3000-15664-0004.flac	0.250	0.01	(8, 8)	4
3000-15664-0005.flac	0.000	0.2	(32, 32)	4
3000-15664-0006.flac	0.000	0.01	(16, 16)	4
3000-15664-0007.flac	0.000	0.2	(16, 16)	4
3000-15664-0008.flac	0.000	0.05	(16, 16)	4
3000-15664-0009.flac	0.000	0.05	(16, 16)	4
3000-15664-0010.flac	0.125	0.2	(8, 8)	8
3000-15664-0011.flac	0.000	0.05	(32, 32)	4
3000-15664-0012.flac	0.125	0.1	(8, 8)	8
3000-15664-0013.flac	0.000	0.05	(32, 32)	4
3000-15664-0014.flac	0.000	0.05	(32, 32)	4
3000-15664-0015.flac	0.125	0.1	(16, 16)	8
3000-15664-0016.flac	0.000	0.01	(32, 32)	4
3000-15664-0017.flac	0.125	0.01	(16, 16)	8
3000-15664-0018.flac	0.125	0.01	(8, 8)	8
3000-15664-0019.flac	0.250	0.01	(8, 8)	4
3000-15664-0020.flac	0.125	0.1	(32, 32)	8
3000-15664-0021.flac	0.250	0.01	(16, 16)	8
3000-15664-0022.flac	0.000	0.1	(8, 8)	4
3000-15664-0023.flac	0.000	0.2	(8, 8)	4
3000-15664-0024.flac	0.000	0.1	(32, 32)	4
3000-15664-0025.flac	0.250	0.05	(8, 8)	4
3000-15664-0026.flac	0.125	0.05	(16, 16)	16
3000-15664-0027.flac	0.000	0.2	(32, 32)	4
3000-15664-0028.flac	0.250	0.01	(8, 8)	4
3000-15664-0029.flac	0.000	0.1	(8, 8)	4
3000-15664-0030.flac	0.250	0.01	(8, 8)	8
3000-15664-0031.flac	0.250	0.01	(16, 16)	4
3000-15664-0032.flac	0.062	0.01	(16, 16)	16
3000-15664-0033.flac	0.000	0.01	(8, 8)	4
3000-15664-0034.flac	0.250	0.01	(8, 8)	4
3000-15664-0035.flac	0.000	0.01	(8, 8)	4
3000-15664-0036.flac	0.000	0.01	(8, 8)	4
3000-15664-0037.flac	0.000	0.05	(16, 16)	4
3000-15664-0038.flac	0.000	0.2	(32, 32)	4
3000-15664-0039.flac	0.250	0.01	(8, 8)	4
3000-15664-0040.flac	0.250	0.01	(16, 16)	4
3000-15664-0041.flac	0.000	0.05	(16, 16)	4
3000-15664-0042.flac	0.000	0.01	(32, 32)	4
3000-15664-0043.flac	0.000	0.05	(16, 16)	4
3000-15664-0044.flac	0.250	0.01	(16, 16)	8
